Team,Year,Rank,Result,Change,Combinations,Expected_Value,Lottery_Chance,Difference,Standard_deviation,Z
WAW,2019,6,9,-3,90.0,5.532631387089035,0.3705825782011835,-3.467368612910965,2.487148438912003,-1.3941140619768384
CHA/NOP,2019,7,1,6,60.0,6.56111002417801,0.2618555681374585,5.56111002417801,2.526871348639229,2.2007887450118027
VAN/MEM,2019,8,2,6,60.0,7.089823481797358,0.2618555681374585,5.089823481797358,2.811989900814614,1.810043300768211
ATL,2019,9,10,-1,60.0,7.618536939416728,0.2618555681374585,-2.381463060583272,3.098224364687135,-0.7686541645358718
MIN,2019,10,11,-1,30.0,9.1933630289459,0.13818239045248246,-1.8066369710541004,2.7004398540391494,-0.6690158154612648
LAL,2019,11,4,7,20.0,10.349606187995695,0.09369359288660478,6.349606187995695,2.5296046641403316,2.5101179951190375
CHA,2019,12,12,0,10.0,11.646823109300323,0.04761974487811947,-0.35317689069967706,2.0490401271009735,-0.17236211532829246
MIA,2019,13,13,0,10.0,12.5530157908683,0.04761974487811947,-0.4469842091316991,2.2389841376230635,-0.19963705933451753
BOS,2019,14,14,0,10.0,13.459208472436247,0.04761974487811947,-0.5407915275637531,2.4306717409291254,-0.222486450332876
PHX,2018,1,1,0,250.0,2.652965883294746,0.6402729785024232,1.6529658832947458,1.2047705246457303,1.3720172011851053
VAN/MEM,2018,2,4,-2,200.0,2.9822894464896503,0.556074864296308,-1.0177105535103497,1.3351661950810119,-0.7622351114488781
DAL,2018,3,5,-2,138.0,3.5441183556979228,0.4222752178296959,-1.4558816443020772,1.4805218789843917,-0.983357061430786
ATL,2018,4,3,1,137.0,3.8430090466718414,0.4198273796309712,0.8430090466718414,1.716980346697082,0.4909835155035523
ORL,2018,5,6,-1,88.0,4.7002267500177695,0.2884581073786934,-1.2997732499822305,1.8189923270632515,-0.7145567524634389
CHI,2018,6,7,-1,53.0,5.732673284054501,0.1813128618881915,-1.267326715945499,1.8264507813137911,-0.6938740035654799
SAC,2018,7,2,5,53.0,6.392767359362456,0.1813128618881915,4.392767359362456,2.0980491322141375,2.093739032091508
CLE,2018,8,8,0,28.0,7.630517970180939,0.0984709796718568,-0.36948202981906064,1.8797313910832052,-0.19656107865823566
NYK,2018,9,9,0,17.0,8.744524647665457,0.060470819841973375,-0.25547535233454255,1.72240063344513,-0.14832516162255646
PHI,2018,10,10,0,11.0,9.81758535403673,0.03936433123617002,-0.18241464596327006,1.5887379831264947,-0.11481732538696802
CHA,2018,11,11,0,8.0,10.848808453134374,0.028713388627047032,-0.15119154686562553,1.5220817868356713,-0.09933207806128794
LAC,2018,12,12,0,7.0,11.83410787590699,0.025148801353765647,-0.16589212409300913,1.5721534180462535,-0.10551904298192895
LAC,2018,13,13,0,6.0,12.830082375686288,0.021577128177095447,-0.1699176243137117,1.59479085469774,-0.10654539672910032
DEN,2018,14,14,0,5.0,13.836783653964277,0.017998399612432478,-0.163216346035723,1.5843826562360435,-0.10301573637739114
BOS,2017,1,1,0,250.0,2.6456421175830265,0.6403728069724952,1.6456421175830265,1.2033464836201346,1.3675546818670998
PHX,2017,2,4,-2,199.0,2.977750903058571,0.5542761274543423,-1.022249096941429,1.3328846095948332,-0.7669449325040745
LAL,2017,3,2,1,156.0,3.4036983412919612,0.46481388463624995,1.4036983412919612,1.4954291708646485,0.938659194724917
SAC,2017,4,5,-1,119.0,3.9652936492688307,0.37422668673705456,-1.0347063507311693,1.668805779443264,-0.6200280245172457
ORL,2017,5,6,-1,88.0,4.68443317940357,0.28850773657099765,-1.3155668205964304,1.81854366763931,-0.7234177787461081
